def	fit	ion	x0	tag	sumFormula	x_Lo	x_Hi	d2_Ctr	d2_Lo	d2_Hi	d1_Ctr	d1_Lo	d1_Hi	d0_Ctr	d0_Lo	d0_Hi	calFac	calUnit	charge	ionizFrac	fragOf	isotopeOf	comments	standards	families	baseline	intCalIn
1	0	(NH4)C4H8O+	90.091340		C4H12NO	90.0835	90.0992												1								
1	1	C3H7O3+	91.038970		C3H7O3	91.0307	91.0472		0.00																		
1	1	<unknown1484>	91.049605			91.0414	91.0578																				
1	0	H11O5+	91.060100		H11O5	91.0518	91.0683		0.00																		
1	1	(NH4)C2H2O3+	92.034219		C2H6NO3	92.0262	92.0420		0.00										1								
1	1	(NH4)C3H6O2	92.071154		C3H10NO2	92.0631	92.0792		0.00										0								
1	0	(NH4)C4H10O	92.107539		C4H14NO	92.0994	92.1155		0.00										0								
1	1	(H2O)C3H7O2+	93.054621		C3H9O3	93.0466	93.0625		0.00										1								
1	1	(NH3)(NH4)C2H2O2	93.066403		C2H9N2O2	93.0583	93.0745		0.00										0								
1	0	(H2O)C4H11O+	93.091006		C4H13O2	93.0831	93.0991		0.00										1								
1	0	(NH3)(NH4)C3H6O	93.102788		C3H13N2O	93.0947	93.1109		0.00										0								
1	1	(NH4)C2H4O3	94.050418		C2H8NO3	94.0423	94.0586		0.00										0								
1	1	(NH4)C3H8O2	94.086804		C3H12NO2	94.0786	94.0949		0.00										0								
1	1	(H2O)C2H5O3+	95.033885		C2H7O4	95.0257	95.0419		0.00										1								
1	1	C6H7O+	95.049141		C6H7O	95.0410	95.0573		0.00										1								
1	0	(H2O)2C3H7O+	95.070271		C3H11O3	95.0622	95.0784		0.00										1								
1	1	C7H11+	95.085527		C7H11	95.0774	95.0936		0.00										1								
1	0	(NH4)CH2O4+	96.029134		CH6NO4	96.0209	96.0373		0.00										1								
1	1	(NH4)C5H2O+	96.044390		C5H6NO	96.0362	96.0526		0.00										1								
1	0	(H2O)(NH4)C2H4O2	96.066068		C2H10NO3	96.0578	96.0743		0.00										0								
1	1	(H2O)2C3H8O	96.078644		C3H12O3	96.0703	96.0869		0.00										0								
1	1	C5H5O2	97.028954		C5H5O2	97.0206	97.0373		0.00										0								
1	1	(H3O)C2H6O3+	97.049535		C2H9O4	97.0413	97.0577		0.00																		
1	1	C6H9O+	97.064791		C6H9O	97.0566	97.0730		0.00										1								
1	1	(NH4)C4O2+	98.023655		C4H4NO2	98.0153	98.0319		0.00										1								
1	0	(NH4)CH4O4+	98.044784		CH8NO4	98.0364	98.0530		0.00										1								
1	1	(NH4)C5H4O	98.060589		C5H8NO	98.0522	98.0690		0.00										0								
1	0	(NH4)C6H8	98.096974		C6H12N	98.0886	98.1054		0.00										0								
1	1	C5H7O2	99.044604		C5H7O2	99.0361	99.0531		0.00										0								
1	1	(NH3)(NH4)C4O	99.055838		C4H7N2O	99.0473	99.0642		0.00										0								
